MoveEvent(x=116, y=142, time=1643694472.467297)
MoveEvent(x=116, y=142, time=1643694472.467297)
MoveEvent(x=116, y=141, time=1643694472.475297)
MoveEvent(x=116, y=140, time=1643694472.4833)
MoveEvent(x=116, y=139, time=1643694472.491297)
MoveEvent(x=115, y=138, time=1643694472.499301)
MoveEvent(x=115, y=138, time=1643694472.499301)
MoveEvent(x=115, y=137, time=1643694472.507296)
MoveEvent(x=115, y=136, time=1643694472.515298)
MoveEvent(x=114, y=136, time=1643694472.523297)
MoveEvent(x=113, y=135, time=1643694472.539298)
MoveEvent(x=113, y=135, time=1643694472.539298)
ButtonEvent(event_type='down', button='left', time=1643694472.579295)
ButtonEvent(event_type='up', button='left', time=1643694472.691299)
MoveEvent(x=113, y=135, time=1643694472.915299)
MoveEvent(x=115, y=135, time=1643694472.923297)
MoveEvent(x=116, y=135, time=1643694472.931295)
MoveEvent(x=117, y=135, time=1643694472.9393)
MoveEvent(x=118, y=135, time=1643694472.947297)
MoveEvent(x=120, y=135, time=1643694472.955297)
MoveEvent(x=122, y=135, time=1643694472.963295)
MoveEvent(x=123, y=135, time=1643694472.971295)
MoveEvent(x=124, y=135, time=1643694472.979295)
MoveEvent(x=126, y=135, time=1643694472.987294)
MoveEvent(x=127, y=134, time=1643694472.995296)
MoveEvent(x=127, y=134, time=1643694472.995296)
MoveEvent(x=129, y=134, time=1643694473.0033)
MoveEvent(x=131, y=134, time=1643694473.011297)
MoveEvent(x=133, y=134, time=1643694473.019297)
MoveEvent(x=135, y=133, time=1643694473.027297)
MoveEvent(x=135, y=133, time=1643694473.027297)
MoveEvent(x=136, y=133, time=1643694473.035306)
MoveEvent(x=138, y=133, time=1643694473.043307)
MoveEvent(x=139, y=133, time=1643694473.051297)
MoveEvent(x=140, y=133, time=1643694473.059306)
MoveEvent(x=141, y=133, time=1643694473.067294)
MoveEvent(x=143, y=133, time=1643694473.075305)
MoveEvent(x=145, y=133, time=1643694473.083296)
MoveEvent(x=146, y=133, time=1643694473.091294)
MoveEvent(x=147, y=133, time=1643694473.099298)
MoveEvent(x=149, y=133, time=1643694473.107298)
MoveEvent(x=150, y=133, time=1643694473.115298)
MoveEvent(x=151, y=133, time=1643694473.123295)
MoveEvent(x=152, y=133, time=1643694473.131306)
MoveEvent(x=153, y=133, time=1643694473.139297)
MoveEvent(x=155, y=133, time=1643694473.147306)
MoveEvent(x=156, y=133, time=1643694473.163298)
MoveEvent(x=158, y=133, time=1643694473.171307)
MoveEvent(x=159, y=133, time=1643694473.187296)
MoveEvent(x=160, y=133, time=1643694473.195294)
MoveEvent(x=161, y=133, time=1643694473.203305)
MoveEvent(x=163, y=133, time=1643694473.211294)
MoveEvent(x=164, y=133, time=1643694473.219297)
MoveEvent(x=165, y=132, time=1643694473.227301)
MoveEvent(x=165, y=132, time=1643694473.227301)
MoveEvent(x=167, y=132, time=1643694473.235299)
MoveEvent(x=168, y=132, time=1643694473.243299)
MoveEvent(x=170, y=133, time=1643694473.251299)
MoveEvent(x=170, y=133, time=1643694473.251299)
MoveEvent(x=171, y=133, time=1643694473.259298)
MoveEvent(x=173, y=133, time=1643694473.2673)
MoveEvent(x=175, y=133, time=1643694473.275297)
MoveEvent(x=177, y=133, time=1643694473.283298)
MoveEvent(x=179, y=133, time=1643694473.291296)
MoveEvent(x=182, y=133, time=1643694473.299298)
MoveEvent(x=184, y=133, time=1643694473.307296)
MoveEvent(x=186, y=133, time=1643694473.315296)
MoveEvent(x=188, y=133, time=1643694473.323295)
MoveEvent(x=190, y=133, time=1643694473.331297)
MoveEvent(x=191, y=133, time=1643694473.339297)
MoveEvent(x=192, y=133, time=1643694473.347296)
MoveEvent(x=193, y=132, time=1643694473.355296)
MoveEvent(x=193, y=132, time=1643694473.355296)
MoveEvent(x=194, y=132, time=1643694473.363299)
MoveEvent(x=195, y=132, time=1643694473.379298)
MoveEvent(x=195, y=133, time=1643694473.411295)
MoveEvent(x=196, y=133, time=1643694473.427295)
MoveEvent(x=197, y=133, time=1643694473.467298)
MoveEvent(x=198, y=133, time=1643694473.475295)
MoveEvent(x=199, y=133, time=1643694473.483297)
MoveEvent(x=199, y=133, time=1643694473.499298)
MoveEvent(x=200, y=133, time=1643694473.507298)
ButtonEvent(event_type='down', button='left', time=1643694473.635308)
ButtonEvent(event_type='up', button='left', time=1643694473.755301)
MoveEvent(x=201, y=133, time=1643694474.275307)
MoveEvent(x=203, y=133, time=1643694474.283299)
MoveEvent(x=205, y=133, time=1643694474.291299)
MoveEvent(x=206, y=133, time=1643694474.299299)
MoveEvent(x=207, y=133, time=1643694474.307299)
MoveEvent(x=208, y=133, time=1643694474.315298)
MoveEvent(x=209, y=133, time=1643694474.323295)
MoveEvent(x=211, y=133, time=1643694474.331303)
MoveEvent(x=212, y=133, time=1643694474.339296)
MoveEvent(x=213, y=133, time=1643694474.347299)
MoveEvent(x=214, y=133, time=1643694474.355298)
MoveEvent(x=215, y=133, time=1643694474.363296)
MoveEvent(x=216, y=133, time=1643694474.37131)
MoveEvent(x=217, y=133, time=1643694474.379301)
MoveEvent(x=218, y=133, time=1643694474.387301)
MoveEvent(x=219, y=133, time=1643694474.395299)
MoveEvent(x=220, y=133, time=1643694474.411298)
MoveEvent(x=222, y=133, time=1643694474.419299)
MoveEvent(x=223, y=133, time=1643694474.427302)
MoveEvent(x=224, y=133, time=1643694474.435299)
MoveEvent(x=225, y=132, time=1643694474.4433)
MoveEvent(x=225, y=132, time=1643694474.4433)
MoveEvent(x=227, y=132, time=1643694474.451298)
MoveEvent(x=228, y=132, time=1643694474.459297)
MoveEvent(x=229, y=132, time=1643694474.467297)
MoveEvent(x=230, y=132, time=1643694474.475298)
MoveEvent(x=231, y=132, time=1643694474.483297)
MoveEvent(x=232, y=132, time=1643694474.491299)
MoveEvent(x=233, y=133, time=1643694474.499298)
MoveEvent(x=233, y=133, time=1643694474.499298)
MoveEvent(x=234, y=133, time=1643694474.507297)
MoveEvent(x=235, y=133, time=1643694474.515299)
MoveEvent(x=236, y=133, time=1643694474.531297)
MoveEvent(x=238, y=132, time=1643694474.539299)
MoveEvent(x=238, y=132, time=1643694474.539299)
MoveEvent(x=239, y=132, time=1643694474.555299)
MoveEvent(x=239, y=132, time=1643694474.563299)
MoveEvent(x=242, y=132, time=1643694474.571298)
MoveEvent(x=244, y=132, time=1643694474.579298)
MoveEvent(x=245, y=133, time=1643694474.587298)
MoveEvent(x=245, y=133, time=1643694474.587298)
MoveEvent(x=249, y=133, time=1643694474.595297)
MoveEvent(x=249, y=133, time=1643694474.603299)
MoveEvent(x=253, y=133, time=1643694474.611299)
MoveEvent(x=255, y=133, time=1643694474.619299)
MoveEvent(x=258, y=133, time=1643694474.627296)
MoveEvent(x=261, y=133, time=1643694474.635298)
MoveEvent(x=263, y=132, time=1643694474.643301)
MoveEvent(x=263, y=132, time=1643694474.643301)
MoveEvent(x=266, y=133, time=1643694474.651297)
MoveEvent(x=266, y=133, time=1643694474.651297)
MoveEvent(x=269, y=133, time=1643694474.659309)
MoveEvent(x=271, y=133, time=1643694474.667307)
MoveEvent(x=273, y=132, time=1643694474.675299)
MoveEvent(x=273, y=132, time=1643694474.675299)
MoveEvent(x=275, y=132, time=1643694474.683299)
MoveEvent(x=277, y=132, time=1643694474.691298)
MoveEvent(x=279, y=132, time=1643694474.699298)
MoveEvent(x=280, y=132, time=1643694474.707298)
MoveEvent(x=282, y=132, time=1643694474.715299)
MoveEvent(x=283, y=132, time=1643694474.723298)
MoveEvent(x=284, y=132, time=1643694474.731299)
MoveEvent(x=285, y=132, time=1643694474.7393)
MoveEvent(x=286, y=132, time=1643694474.747307)
MoveEvent(x=287, y=132, time=1643694474.755306)
MoveEvent(x=289, y=132, time=1643694474.771308)
MoveEvent(x=290, y=132, time=1643694474.779304)
MoveEvent(x=291, y=132, time=1643694474.787296)
MoveEvent(x=292, y=131, time=1643694474.795309)
MoveEvent(x=292, y=131, time=1643694474.795309)
MoveEvent(x=294, y=131, time=1643694474.803296)
MoveEvent(x=295, y=131, time=1643694474.811309)
MoveEvent(x=297, y=132, time=1643694474.819307)
MoveEvent(x=297, y=132, time=1643694474.819307)
MoveEvent(x=298, y=131, time=1643694474.827309)
MoveEvent(x=298, y=131, time=1643694474.827309)
MoveEvent(x=300, y=131, time=1643694474.835308)
MoveEvent(x=302, y=131, time=1643694474.8433)
MoveEvent(x=304, y=131, time=1643694474.851295)
MoveEvent(x=307, y=131, time=1643694474.859296)
MoveEvent(x=309, y=131, time=1643694474.867297)
MoveEvent(x=310, y=131, time=1643694474.875299)
MoveEvent(x=312, y=131, time=1643694474.8833)
MoveEvent(x=313, y=131, time=1643694474.8913)
MoveEvent(x=315, y=131, time=1643694474.899298)
MoveEvent(x=316, y=131, time=1643694474.907299)
MoveEvent(x=317, y=131, time=1643694474.915296)
MoveEvent(x=319, y=131, time=1643694474.9233)
MoveEvent(x=320, y=131, time=1643694474.9313)
MoveEvent(x=321, y=131, time=1643694474.939298)
MoveEvent(x=322, y=131, time=1643694474.947298)
MoveEvent(x=323, y=131, time=1643694474.955298)
MoveEvent(x=325, y=131, time=1643694474.963299)
MoveEvent(x=326, y=131, time=1643694474.971297)
MoveEvent(x=328, y=131, time=1643694474.979297)
MoveEvent(x=329, y=131, time=1643694474.9873)
MoveEvent(x=330, y=131, time=1643694474.995297)
MoveEvent(x=331, y=131, time=1643694475.0033)
MoveEvent(x=333, y=131, time=1643694475.0113)
MoveEvent(x=334, y=131, time=1643694475.027299)
MoveEvent(x=335, y=132, time=1643694475.035296)
MoveEvent(x=335, y=132, time=1643694475.035296)
MoveEvent(x=336, y=132, time=1643694475.043297)
MoveEvent(x=337, y=132, time=1643694475.059296)
MoveEvent(x=338, y=132, time=1643694475.067295)
MoveEvent(x=339, y=132, time=1643694475.091297)
MoveEvent(x=340, y=132, time=1643694475.099301)
MoveEvent(x=341, y=132, time=1643694475.115308)
MoveEvent(x=342, y=132, time=1643694475.1233)
MoveEvent(x=343, y=132, time=1643694475.13131)
MoveEvent(x=344, y=132, time=1643694475.139308)
MoveEvent(x=345, y=132, time=1643694475.147307)
MoveEvent(x=346, y=132, time=1643694475.163298)
MoveEvent(x=347, y=132, time=1643694475.1713)
MoveEvent(x=348, y=132, time=1643694475.179298)
MoveEvent(x=349, y=132, time=1643694475.187299)
MoveEvent(x=350, y=132, time=1643694475.195299)
MoveEvent(x=351, y=132, time=1643694475.211299)
MoveEvent(x=352, y=132, time=1643694475.219298)
MoveEvent(x=353, y=132, time=1643694475.227301)
MoveEvent(x=354, y=132, time=1643694475.235301)
MoveEvent(x=355, y=132, time=1643694475.243297)
MoveEvent(x=356, y=132, time=1643694475.251301)
MoveEvent(x=357, y=132, time=1643694475.259296)
MoveEvent(x=358, y=132, time=1643694475.2753)
MoveEvent(x=359, y=132, time=1643694475.291299)
ButtonEvent(event_type='down', button='left', time=1643694475.395301)
ButtonEvent(event_type='up', button='left', time=1643694475.699302)
MoveEvent(x=359, y=132, time=1643694476.7393)
MoveEvent(x=360, y=132, time=1643694477.219299)
MoveEvent(x=360, y=132, time=1643694477.235299)
MoveEvent(x=360, y=132, time=1643694477.275301)
MoveEvent(x=360, y=133, time=1643694477.283311)
MoveEvent(x=361, y=133, time=1643694477.29931)
MoveEvent(x=361, y=134, time=1643694477.307301)
MoveEvent(x=362, y=134, time=1643694477.315302)
MoveEvent(x=362, y=135, time=1643694477.323302)
MoveEvent(x=363, y=135, time=1643694477.331298)
MoveEvent(x=363, y=136, time=1643694477.339299)
MoveEvent(x=364, y=136, time=1643694477.355311)
MoveEvent(x=364, y=137, time=1643694477.36331)
MoveEvent(x=365, y=137, time=1643694477.379299)
MoveEvent(x=365, y=138, time=1643694477.395303)
MoveEvent(x=366, y=138, time=1643694477.403301)
MoveEvent(x=367, y=139, time=1643694477.411299)
MoveEvent(x=367, y=139, time=1643694477.411299)
MoveEvent(x=368, y=139, time=1643694477.42731)
MoveEvent(x=369, y=140, time=1643694477.435309)
MoveEvent(x=369, y=140, time=1643694477.435309)
MoveEvent(x=369, y=141, time=1643694477.44331)
MoveEvent(x=371, y=142, time=1643694477.451303)
MoveEvent(x=371, y=142, time=1643694477.451303)
MoveEvent(x=373, y=143, time=1643694477.459304)
MoveEvent(x=373, y=143, time=1643694477.459304)
MoveEvent(x=375, y=144, time=1643694477.46731)
MoveEvent(x=375, y=144, time=1643694477.46731)
MoveEvent(x=377, y=146, time=1643694477.475313)
MoveEvent(x=377, y=146, time=1643694477.475313)
MoveEvent(x=380, y=147, time=1643694477.483303)
MoveEvent(x=380, y=147, time=1643694477.483303)
MoveEvent(x=385, y=148, time=1643694477.491311)
MoveEvent(x=385, y=148, time=1643694477.491311)
MoveEvent(x=388, y=150, time=1643694477.49931)
MoveEvent(x=388, y=150, time=1643694477.49931)
MoveEvent(x=391, y=151, time=1643694477.50731)
MoveEvent(x=391, y=151, time=1643694477.50731)
MoveEvent(x=395, y=154, time=1643694477.5153)
MoveEvent(x=395, y=154, time=1643694477.5153)
MoveEvent(x=402, y=156, time=1643694477.523303)
MoveEvent(x=402, y=156, time=1643694477.523303)
MoveEvent(x=404, y=158, time=1643694477.531302)
MoveEvent(x=404, y=158, time=1643694477.531302)
MoveEvent(x=413, y=160, time=1643694477.539304)
MoveEvent(x=413, y=160, time=1643694477.539304)
MoveEvent(x=420, y=166, time=1643694477.547303)
MoveEvent(x=420, y=166, time=1643694477.547303)
MoveEvent(x=435, y=169, time=1643694477.555305)
MoveEvent(x=435, y=169, time=1643694477.555305)
MoveEvent(x=447, y=172, time=1643694477.563311)
MoveEvent(x=447, y=172, time=1643694477.563311)
MoveEvent(x=466, y=176, time=1643694477.57131)
MoveEvent(x=466, y=176, time=1643694477.57131)
MoveEvent(x=484, y=182, time=1643694477.579312)
MoveEvent(x=484, y=182, time=1643694477.579312)
MoveEvent(x=514, y=186, time=1643694477.587302)
MoveEvent(x=514, y=186, time=1643694477.587302)
MoveEvent(x=530, y=194, time=1643694477.595301)
MoveEvent(x=530, y=194, time=1643694477.595301)
MoveEvent(x=553, y=197, time=1643694477.603303)
MoveEvent(x=553, y=197, time=1643694477.603303)
MoveEvent(x=583, y=201, time=1643694477.6113)
MoveEvent(x=583, y=201, time=1643694477.6113)
MoveEvent(x=605, y=209, time=1643694477.619301)
MoveEvent(x=605, y=209, time=1643694477.619301)
MoveEvent(x=629, y=215, time=1643694477.627299)
MoveEvent(x=629, y=215, time=1643694477.627299)
MoveEvent(x=663, y=221, time=1643694477.635303)
MoveEvent(x=663, y=221, time=1643694477.635303)
MoveEvent(x=685, y=223, time=1643694477.643302)
MoveEvent(x=685, y=223, time=1643694477.643302)
MoveEvent(x=713, y=227, time=1643694477.651305)
MoveEvent(x=713, y=227, time=1643694477.651305)
